page,list_index,room_id,name,address,visibility,weekly_price,rent_weekly,rent_weekly_number,deposit,deposit_number,maintenance_weekly,maintenance_weekly_number,maintenance_included,maintenance_description,cleaning_fee,cleaning_fee_number,long_term_discount_raw,immediate_move_in_discount_raw,refund_policy
3,0,90691,강동역 1.5룸 B64,서울특별시 강동구 천호동 560-2 더하임 6층 604호,공개,"280,000원","280,000",280000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",보통
3,1,90066,서울역 특가 2룸 L5,서울특별시 중구 만리동1가 35-2 하람휴 11층 1001호,공개,"600,000원","600,000",600000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. (주차비 제외) 전기와 가스를 과도하게 사용할 경우 퇴실 후 추가요금이 청구될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",보통
3,2,88922,3월특가 2룸 U34,서울특별시 강동구 천호동 167-160 3층 성우 304호,공개,"400,000원","400,000",400000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. 과도한 공과금은 청구 될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",강한
3,3,88901,강동역 2룸 U51,서울특별시 강동구 천호동 167-160 5층 성우 501호,공개,"400,000원","400,000",400000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. 과도한 공과금은 청구 될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",강한
3,4,88745,신림동 2룸,서울특별시 관악구 신림동 408-46 가온빌 2층 102호,공개,"200,000원","200,000",200000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금 포합입니다.,"50,000",50000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 1만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",보통
3,5,88290,강동역 1.5룸 B76,서울특별시 강동구 천호동 560-2 더하임 3층 306,공개,"380,000원","380,000",380000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 3주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",약한
3,6,88289,강동역 2베드 B56,서울특별시 강동구 천호동 560-2 더하임 5층 506,공개,"380,000원","380,000",380000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 3주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",약한
3,7,83771,강동역 2룸 U31,서울특별시 강동구 천호동 167-160 3층 성우 301호,공개,"400,000원","400,000",400000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. 과도한 공과금은 청구 될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",강한
3,8,83484,서울역 3월특가 L2,서울특별시 중구 만리동1가 35-2 하람휴 9층 하람휴 902호,공개,"600,000원","600,000",600000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. (주차비 제외) 전기와 가스를 과도하게 사용할 경우 퇴실 후 추가요금이 청구될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 4주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",보통
3,9,83326,강동역 3룸 U42,서울특별시 강동구 천호동 167-160 4층 성우 402호,공개,"750,000원","750,000",750000,"330,000원",330000,"130,000",130000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 포함되어 있습니다. 과도한 공과금 청구 될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 3주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",보통
